VENDOR_CODE,VENDOR_NAME,VENDOR_TYPE,DATE_SUBMITTED,DATE_COMPLETED
154005,"168 MARKETING CORPORATION","STORE CONSIGNOR","2022-07-26 10:07:23","2024-02-13 14:30:15"
010171,"A LE PAUL INC",OUTRIGHT,"2022-07-18 11:03:42","2022-08-24 14:09:27"
014197,"A.K.S. INDUSTRIES","STORE CONSIGNOR","2023-06-14 15:14:23","2023-07-26 14:08:03"
010488,"ADVANCE PAPER CORPORATION",OUTRIGHT,"2022-07-18 13:00:11","2023-03-15 15:05:38"
260213,"ALLANAE PRINTSHOP & PAPER PRODUCTS CORPORATION",OUTRIGHT,"2022-07-19 08:37:07","2022-08-18 14:43:54"
260323,"AMAZON PRINTING & GEN MDSE CORP",OUTRIGHT,"2022-08-02 15:17:31","2022-11-03 15:07:22"
014247,"APRICA PRODUCTS PHILIPPINES INC","STORE CONSIGNOR","2023-01-03 18:36:21","2023-01-16 16:05:34"
014299,"ARCP TRADING","STORE CONSIGNOR","2022-07-19 08:17:52","2022-10-13 15:07:57"
024184,"BABYBAMBOO ENTERPRISES","STORE CONSIGNOR","2022-08-06 14:30:50","2022-09-23 14:01:10"
024225,"BEANSPROUT LIFESTYLE MARKETING CORPORATION","STORE CONSIGNOR","2023-11-30 18:21:15","2023-12-12 14:51:39"
020541,"BELMAX TRADING",OUTRIGHT,"2022-08-31 10:56:15","2022-09-23 15:22:56"
020117,"BEST RUBBER CORPORATION",OUTRIGHT,"2022-07-28 11:21:18","2024-05-20 09:14:27"
020533,"BISING TRADING POST",OUTRIGHT,"2022-10-11 15:29:34","2022-11-08 14:46:27"
020524,"BNK MARVGOLD ENTERPRISES",OUTRIGHT,"2022-07-26 18:49:02","2022-08-15 13:57:31"
034138,"CDC MANUFACTURING CORP","STORE CONSIGNOR","2022-08-24 16:05:36","2022-10-03 15:03:02"
034082,"CEBU OVERSEA HARDWARE CO., INC.","STORE CONSIGNOR","2022-10-06 07:50:09","2024-04-30 16:49:41"
034253,"COBALTBLISS CORPORATION","STORE CONSIGNOR","2022-08-30 14:35:29","2022-11-11 15:18:58"
034102,"CONQUEROR INTERNATIONAL INC","STORE CONSIGNOR","2022-08-08 13:22:27","2023-04-05 14:16:33"
030450,"CONQUEST PHILS. INC.",OUTRIGHT,"2022-08-05 13:06:08","2022-10-21 14:23:19"
030529,"CONSOLIDATED PAPER PRODUCTS, INC.",OUTRIGHT,"2022-08-30 10:11:59","2023-05-15 14:19:00"
040345,"D.A.C.Y. CLOTHING GROUP CORP.",OUTRIGHT,"2022-08-03 10:54:22","2022-09-05 14:11:49"
040306,"DONG-A PHARMA PHILS INC",OUTRIGHT,"2023-02-06 10:45:13","2023-04-12 14:06:28"
050282,"EAGLE SOLE, INCORPORATED",OUTRIGHT,"2022-09-06 15:39:13","2023-05-31 14:01:58"
050310,"EASYHAND MARKETING CORPORATION",OUTRIGHT,"2022-08-08 16:01:30","2023-05-05 14:10:25"
054148,"ELEC TREATS ENTERPRISES INC","STORE CONSIGNOR","2023-01-03 16:31:49","2024-03-13 16:31:01"
050290,"ELIO PHILIPPINES INC",OUTRIGHT,"2022-08-16 10:24:08","2022-10-04 14:15:00"
054158,"ELITE SALES FORCE INTERNATIONAL INC.","STORE CONSIGNOR","2023-11-15 15:24:10","2024-01-15 14:26:10"
050327,"EMIRO MARELI CORPORATION",OUTRIGHT,"2022-10-04 14:50:55","2023-04-26 14:43:59"
050374,"EVERWING PROFEM CORPORATION",OUTRIGHT,"2022-09-28 10:27:14","2022-11-09 14:39:57"
054006,"EVIAN APPAREL CORPORATION","STORE CONSIGNOR","2022-08-20 15:38:37","2022-11-11 13:42:28"
064141,"F AND C JEWELRY, INC.","STORE CONSIGNOR","2022-11-14 14:51:36","2022-12-01 16:02:46"
060418,"F&L FASHION LEADER INC.",OUTRIGHT,"2022-08-24 15:15:40","2022-11-16 15:53:46"
060352,"FASHION MODE CORP.",OUTRIGHT,"2022-09-05 15:25:42","2024-03-26 14:33:21"
060424,"FATED INC.",OUTRIGHT,"2022-08-02 11:26:25","2022-09-26 13:53:43"
060290,"FEDCHEM MANUFACTURING & DISTRIBUTION INC.",OUTRIGHT,"2023-01-03 14:28:52","2023-02-01 13:59:39"
060309,"FIRST LINEN COMMERCIAL",OUTRIGHT,"2022-08-31 10:10:06","2022-10-13 13:55:27"
060323,"FORCAST ARTS & CRAFTS",OUTRIGHT,"2023-01-03 14:06:47","2023-03-09 11:06:51"
070217,"G A C APPAREL",OUTRIGHT,"2022-08-04 00:46:37","2022-08-24 14:15:02"
070415,"G! FASHIONABLES, INC.",OUTRIGHT,"2022-10-18 17:15:35","2022-11-23 14:28:37"
070473,"GB DISTRIBUTORS, INC.",OUTRIGHT,"2024-02-07 09:16:36","2024-03-11 08:20:03"
070410,"GIFT BUSINESS.COM PHILIPPINES INCORPORATED",OUTRIGHT,"2022-09-09 10:13:54","2023-03-27 13:57:46"
074040,"GIVANO FOOTWEAR INTL CORP","STORE CONSIGNOR","2022-09-09 14:49:31","2022-11-10 13:58:21"
070710,"GOLD KNIT GARMENT MANUFACTURING",OUTRIGHT,"2022-08-08 18:56:36","2022-09-26 14:15:37"
070521,"GOLDEN KAIZEN DISTRIBUTORS CORPORATION",OUTRIGHT,"2022-08-20 13:07:47","2024-02-27 13:58:13"
074224,"GRAVISGLOBAL CORP.","STORE CONSIGNOR","2023-01-05 15:20:45","2023-10-09 15:38:59"
070877,"GRICU TRADING",OUTRIGHT,"2022-08-21 13:41:14","2022-09-06 13:59:48"
070525,"GTGB TRADING",OUTRIGHT,"2023-06-16 19:51:49","2023-06-21 14:08:35"
080226,"HANDRICH SALES VENTURES INC.",OUTRIGHT,"2022-08-23 16:52:58","2022-09-23 14:25:47"
080549,"HOME ACCENTS MARKETING, INC.",OUTRIGHT,"2022-10-13 12:34:58","2022-11-03 14:43:55"
094071,"IAJ WELLNESS CORPORATION","STORE CONSIGNOR","2023-08-09 18:02:27","2024-01-16 14:41:55"
094025,"IKHEA LIGHTINGS, INC.","STORE CONSIGNOR","2023-01-05 14:01:58","2023-07-10 10:32:27"
094022,"ISHA-RAE COMMERCIAL INC","STORE CONSIGNOR","2022-08-25 13:42:41","2022-09-23 14:42:08"
100599,"JESUS KRISHNA COMMERCIAL",OUTRIGHT,"2022-11-01 12:05:21","2022-12-14 13:46:15"
104099,"JFRL ENTERPRISES","STORE CONSIGNOR","2023-03-22 09:19:07","2023-04-17 13:57:13"
100506,"JOTOCO CORP.",OUTRIGHT,"2023-01-10 17:42:38","2023-04-05 14:03:09"
104104,"JUREX PHILIPPINES INC","STORE CONSIGNOR","2022-09-06 09:59:32","2023-07-10 14:40:16"
104056,"JUST IN TIME (JIT) CORPORATION","STORE CONSIGNOR","2022-09-12 13:48:50","2022-11-11 15:19:04"
114107,"KIDBASIX MARKETING INC.","STORE CONSIGNOR","2022-08-23 12:12:01","2022-09-27 14:04:52"
110254,"KNITECH MFG. INC.",OUTRIGHT,"2023-09-13 10:35:29","2024-05-30 15:25:26"
110245,"KSK FOOD PRODUCTS",OUTRIGHT,"2023-03-09 08:14:42","2023-04-17 14:07:47"
120962,"LCJ GARMENTS",OUTRIGHT,"2024-02-07 14:53:36","2024-03-15 14:24:46"
120887,"LEDER TECHNIK INC.",OUTRIGHT,"2023-08-18 22:48:57","2023-09-12 14:00:33"
124044,"LIGHT OPTIONS INC","STORE CONSIGNOR","2023-01-05 16:12:49","2024-04-03 11:13:13"
124075,"LIM YEE WAN CO INC","STORE CONSIGNOR","2022-11-21 17:08:01","2022-12-20 13:50:10"
120081,"LOADSTAR TRADE CENTER INC",OUTRIGHT,"2022-12-09 08:52:19","2023-01-12 14:40:07"
020841,"MARIUS HOLDINGS CORPORATION",OUTRIGHT,"2023-11-30 10:46:50","2024-04-23 15:49:25"
130455,"MERGERS DRUGFIL CORP",OUTRIGHT,"2023-02-07 09:46:03","2023-04-03 14:47:31"
240439,"METRO-CENTRAL EXCHANGE INTERNATIONALTRADING CORPORATION",OUTRIGHT,"2022-10-24 08:26:55","2024-03-18 16:11:46"
134193,"MGT MACRO GLOBAL TRADE INC.","STORE CONSIGNOR","2023-01-26 10:38:55","2024-05-15 14:01:40"
240623,"MOBLER CONTRACT GROUP, INC.",OUTRIGHT,"2022-09-27 09:06:10","2023-04-11 14:25:17"
134286,"MULTIPRIME PHILIPPINES INCORPORATED","STORE CONSIGNOR","2023-03-21 10:47:57","2023-04-26 14:39:57"
140043,"NEW CREATION MFG CO INC",OUTRIGHT,"2023-04-26 16:31:15","2024-05-30 08:57:50"
154001,"ONESIMUS CORPORATION","STORE CONSIGNOR","2023-02-23 20:39:32","2023-03-14 14:56:06"
150507,"OPTIWHITE INC.",OUTRIGHT,"2022-12-28 14:57:41","2023-02-08 14:27:37"
150268,"ORIENTWAY MARKETING",OUTRIGHT,"2023-01-27 17:28:37","2023-04-17 13:43:35"
160674,"PARGUERRA ENTERPRISES INC.",OUTRIGHT,"2022-12-13 12:40:15","2024-05-31 13:32:57"
164188,"PERFECTBODY MARKETING CORP.","STORE CONSIGNOR","2022-10-25 12:39:55","2023-07-03 15:05:25"
160619,"POLYSHOE COMPANY, INC.",OUTRIGHT,"2023-03-23 08:11:00","2023-05-15 14:09:07"
180168,"RAERONDSTARR MARKETING",OUTRIGHT,"2024-02-07 08:29:29","2024-03-18 14:11:48"
180389,"REPUBLIC BISCUIT CORPORATION",OUTRIGHT,"2023-09-22 15:21:46","2023-12-20 14:02:02"
194191,"SIERRA REGIS MARKETING, INC","STORE CONSIGNOR","2022-11-07 14:10:15","2022-11-25 13:53:57"
150675,"SMART R BROTHERS TRADING CORPORATION",OUTRIGHT,"2023-03-15 11:36:38","2023-03-27 14:02:54"
190133,"SOLARGAS INTERNATIONAL",OUTRIGHT,"2022-10-10 16:50:59","2024-05-13 15:03:19"
190333,"STAR PLASTIC PRODUCTS INC",OUTRIGHT,"2022-07-21 16:52:41","2022-08-26 13:14:37"
194216,"STARAPPLE COMPUTER CORPORATION","STORE CONSIGNOR","2023-03-22 17:29:20","2023-04-18 14:58:57"
194144,"STREET FASHION MAKER INC","STORE CONSIGNOR","2024-02-07 13:52:43","2024-03-11 16:59:45"
194326,"STYLE SENSATION DESIGN SOURCING INC.","STORE CONSIGNOR","2023-01-25 17:40:43","2023-03-01 15:01:23"
150552,"SUNRIVA MERCHANDISE TRADING CORPORATION",OUTRIGHT,"2022-10-12 10:40:05","2024-05-21 15:42:05"
150547,"SURECHOICE PHARMA PHILS., INC.",OUTRIGHT,"2024-01-11 16:32:24","2024-03-21 09:04:56"
194370,"SYNERGI GLOBAL MARKETING AND TRADING CORPORATION","STORE CONSIGNOR","2022-12-01 13:36:48","2024-03-19 13:25:46"
204208,"THE RED ENVELOPE CORPORATION","STORE CONSIGNOR","2023-02-01 09:33:56","2023-03-29 13:54:37"
200538,"TRICKSON GEN. MERCHANDISE INC.",OUTRIGHT,"2023-01-23 13:28:32","2023-02-06 14:22:50"
204180,"TRI-JS MARKETING VENTURES INC.","STORE CONSIGNOR","2023-03-22 09:28:37","2023-04-17 14:02:23"
200536,"TRITUM TRADING",OUTRIGHT,"2024-02-02 15:01:55","2024-02-27 14:21:26"
200490,"TROPICAL PREMIUMS TRADING",OUTRIGHT,"2023-04-03 13:36:57","2023-07-25 14:46:10"
214006,"UNITED MIX CREATIONS CORPORATION","STORE CONSIGNOR","2023-03-13 13:36:12","2023-04-19 16:00:10"
220169,"VEGETARI VEGETARIAN PRODUCTS",OUTRIGHT,"2022-12-19 14:03:36","2023-02-01 14:15:52"
230237,"WEEXT TRADING CORPORATION",OUTRIGHT,"2023-02-03 08:59:56","2023-03-20 13:51:46"
234103,"WHOLE PET KITCHEN:PET DELI & BARK-ERY, INC.","STORE CONSIGNOR","2022-09-16 16:38:34","2022-11-23 15:16:22"
230216,"WINPLUS SALES CENTER, INC.",OUTRIGHT,"2024-03-07 13:41:43","2024-04-15 14:14:38"
234046,"WIZER INDUSTRIES, INC.","STORE CONSIGNOR","2022-09-27 19:48:05","2022-11-18 14:07:45"
260407,"ZANCADA TRADING INC.",OUTRIGHT,"2023-04-02 21:56:05","2024-04-04 14:50:05"
264010,"ZANEA INCORPORATED","STORE CONSIGNOR","2023-03-24 16:09:39","2023-04-26 14:05:24"
264014,"ZAPATO INCORPORATED","STORE CONSIGNOR","2023-03-22 08:56:04","2023-04-17 13:52:24"
150594,"2NDGEN MANUFACTURING CORPORATION",OUTRIGHT,"2022-08-05 14:30:31","2022-09-26 16:02:06"
020304,"BEAWMONT DISTRIBUTIONS, INC.",OUTRIGHT,"2023-08-16 16:54:45","2023-09-12 14:44:41"
020390,"BRAND & LIFESTYLE DEVELOPMENT PARTNERS, INC.",OUTRIGHT,"2024-03-23 10:53:40","2024-05-16 10:06:30"
034301,"CHERENZ GLOBAL MFG., INC.","STORE CONSIGNOR","2024-03-18 16:09:16","2024-05-21 15:57:46"
030239,"CYA INDUSTRIES INC",OUTRIGHT,"2024-01-22 12:51:51","2024-03-11 08:17:18"
050267,"ECOZYME BIO-SYSTEMS CORPORATION",OUTRIGHT,"2024-03-13 14:35:37","2024-05-31 14:42:34"
050133,"EXTENSIVE SALES ENTERPRISES COMPANY",OUTRIGHT,"2023-08-25 15:28:25","2023-11-24 15:11:43"
070514,"GREEN LIFE ECOBAGS, INC.",OUTRIGHT,"2024-02-21 17:26:23","2024-03-18 16:05:13"
080267,"HAPPY HOME REPUBLIC RETAILERS INC.",OUTRIGHT,"2024-03-06 16:18:43","2024-04-18 16:41:01"
080163,"HONEY BARN MARKETING CORPORATION",OUTRIGHT,"2024-03-26 09:50:48","2024-05-15 15:10:33"
090165,"INTERNATIONAL FINE PAPER EXCHANGE INC.",OUTRIGHT,"2024-02-19 17:46:36","2024-03-21 15:45:33"
100629,"JC LUCAS CREATIVE PRODUCTS INC",OUTRIGHT,"2024-03-07 10:22:50","2024-05-14 15:45:23"
134175,"MIRAGE INTERNATIONAL CORP","STORE CONSIGNOR","2024-02-12 15:09:55","2024-04-18 17:34:22"
160261,"PLANET SPORTS, INC.",OUTRIGHT,"2023-09-29 14:37:16","2024-01-29 13:49:24"
160584,"PRIMABY ENTERPRISE CORPORATION",OUTRIGHT,"2024-03-06 09:31:17","2024-03-15 16:34:31"
180278,"RAMESH TRADING CORPORATION",OUTRIGHT,"2024-02-12 10:24:14","2024-04-16 15:37:37"
194095,"STEFANO FOOTWEAR CORPORATION","STORE CONSIGNOR","2024-03-08 08:49:31","2024-04-22 16:44:12"
150394,"SYNERGY SOURCING AND DEVELOPMENT GROUP, INC.",OUTRIGHT,"2024-03-15 16:29:52","2024-05-16 09:45:48"
200037,"TAMSONS ENTERPRISES, INC.",OUTRIGHT,"2024-03-12 13:02:59","2024-05-21 16:06:59"
230188,"WAMRUS TRADING INC., D/B/A THE CATALOG SHOPPER",OUTRIGHT,"2024-03-05 15:30:44","2024-05-03 17:08:54"
